window_quarters,quarter,train_rows,test_rows,rank_ic,p_value,decile_spread
12,2020Q4,17055,1443,0.17406687826038297,2.7870426695983832e-11,0.06440143237286881
12,2021Q1,17092,1449,0.04223131772365585,0.10807727368333145,0.03453046765805057
12,2021Q2,17130,1449,-0.10012774926840891,0.00013467741088872654,-0.01974751586904201
12,2021Q3,17166,1454,0.05632344033207134,0.03174978429622942,0.04391611323205159
12,2021Q4,17207,1460,-0.16998206043649447,6.27358043442175e-11,-0.0912783990778962
12,2022Q1,17251,1467,-0.16657118307327468,1.3683634830441464e-10,-0.017348849738744485
12,2022Q2,17768,1469,-0.042521959939687264,0.10328942994773437,-0.011729139633593882
12,2022Q3,17819,1470,0.059113302679220964,0.023421252738860227,0.039122067484275706
12,2022Q4,17403,1472,-0.06019748486206801,0.02090428573751289,-0.02978278668679953
12,2023Q1,17451,1473,-0.03989429937989787,0.12590786582847435,-0.01604546568600579
12,2023Q2,17489,1006,0.1871206611388676,2.2242449455184915e-09,0.20551127153527426
12,2023Q3,17055,1473,0.020877318381932602,0.42332162630707465,0.02684725490022995
12,2023Q4,17085,1476,0.15506560412082904,2.1160778312366644e-09,0.11349704410309942
12,2024Q1,17118,1472,0.17936427481706468,4.1478544092257656e-12,0.13445493842799616
12,2024Q2,17141,1479,-0.0036072565327868013,0.8897581853587413,-0.008867336851294882
12,2024Q3,17171,1486,0.2506156782057146,1.0223768641565609e-22,0.16478409800594918
12,2024Q4,17203,1484,0.12826976522215972,7.13588172624034e-07,0.11578418471135332
12,2025Q1,17227,1479,0.08459287875312006,0.0011285816871490313,0.0683142664330159
12,2025Q2,17239,1487,0.36983357694064617,2.077543182489677e-49,0.2888294278676546
12,2025Q3,17257,1489,0.007413176832887088,0.7750158977508345,0.015006681579805923
12,2025Q4,17276,1493,-0.013651169011190435,0.5981552735954827,-0.01764304954823878
12,2026Q1,17297,1486,0.2500275888689659,1.2936884556612323e-22,0.3696400546083852
12,2026Q2,17310,1476,0.1082989384918009,3.053320521201476e-05,0.14666376893705793
