quarter,sector,share_of_universe,share_of_top_decile,gap
2022Q4,Healthcare,0.0812274368231047,0.0,-0.0812274368231047
2022Q4,Fast Moving Consumer Goods,0.07581227436823104,0.03636363636363636,-0.03944863800459468
2022Q4,Automobile and Auto Components,0.0703971119133574,0.01818181818181818,-0.05221529373153922
2022Q4,Information Technology,0.06498194945848375,0.0,-0.06498194945848375
2022Q4,Metals & Mining,0.05415162454873646,0.09090909090909091,0.03675746636035445
2022Q4,Oil Gas & Consumable Fuels,0.048736462093862815,0.0,-0.048736462093862815
2022Q4,Power,0.04332129963898917,0.2,0.15667870036101084
2022Q4,Consumer Services,0.04332129963898917,0.03636363636363636,-0.006957663275352806
2022Q4,Consumer Durables,0.03790613718411552,0.0,-0.03790613718411552
2022Q4,Chemicals,0.032490974729241874,0.01818181818181818,-0.014309156547423693
2022Q4,Realty,0.032490974729241874,0.0,-0.032490974729241874
2022Q4,Telecommunication,0.021660649819494584,0.0,-0.021660649819494584
2022Q4,Services,0.021660649819494584,0.03636363636363636,0.014702986544141778
2022Q4,Construction Materials,0.021660649819494584,0.0,-0.021660649819494584
2022Q4,Construction,0.010830324909747292,0.03636363636363636,0.025533311453889068
2022Q4,Textiles,0.005415162454873646,0.0,-0.005415162454873646
2023Q1,Financial Services,0.2314647377938517,0.09090909090909091,-0.1405556468847608
2023Q1,Capital Goods,0.10307414104882459,0.4727272727272727,0.36965313167844815
2023Q1,Healthcare,0.081374321880651,0.0,-0.081374321880651
2023Q1,Fast Moving Consumer Goods,0.0759493670886076,0.05454545454545454,-0.021403912543153054
2023Q1,Automobile and Auto Components,0.0705244122965642,0.03636363636363636,-0.03416077593292784
2023Q1,Information Technology,0.0650994575045208,0.03636363636363636,-0.028735821140884438
2023Q1,Metals & Mining,0.054249547920433995,0.03636363636363636,-0.017885911556797633
2023Q1,Oil Gas & Consumable Fuels,0.048824593128390596,0.01818181818181818,-0.030642774946572415
2023Q1,Power,0.0433996383363472,0.09090909090909091,0.047509452572743714
2023Q1,Consumer Services,0.04159132007233273,0.0,-0.04159132007233273
2023Q1,Consumer Durables,0.0379746835443038,0.03636363636363636,-0.0016110471806674367
2023Q1,Realty,0.0325497287522604,0.0,-0.0325497287522604
2023Q1,Chemicals,0.0325497287522604,0.0,-0.0325497287522604
2023Q1,Construction Materials,0.0216998191681736,0.01818181818181818,-0.0035180009863554178
2023Q1,Telecommunication,0.0216998191681736,0.03636363636363636,0.014663817195462763
